country,district,year,Avg. NVDI Val
Afghanistan,Ghormach,1981,2138.8925438596493
Afghanistan,Qaysar,1981,1695.623299319728
Afghanistan,Chaghcharan,1981,1131.8833874458874
Afghanistan,Nahrin,1981,1809.88125
Afghanistan,Dara,1981,993.0527777777778
Afghanistan,Kabul,1981,1327.4353741496598
Afghanistan,Chahar Sadra,1981,1268.485
Afghanistan,Takhar,1981,1746.290990990991
Afghanistan,Hisa Duwum-e- Kohestan,1981,4155.916666666667
Afghanistan,Estalef,1981,1285.85
Afghanistan,Gelan,1981,1003.2296296296296
Afghanistan,Gomal,1981,1049.205376344086
Afghanistan,Shahid-e-Hassas,1981,1444.0199530516431
Afghanistan,Sharak-e-Hayratan,1981,1012.6111111111111
Afghanistan,Qush Tepa,1981,2088.6833333333334
Afghanistan,Ghorak,1981,1020.6488095238095
Afghanistan,Nad-e-Ali,1981,935.5394345238095
Afghanistan,Mando Zayi,1981,1644.5833333333333
Afghanistan,Adraskan,1981,1260.0666666666666
Afghanistan,Muqur,1981,1343.5625
Afghanistan,Kakar,1981,1105.6349206349207
Afghanistan,Nuristan,1981,548.5
Afghanistan,Ghazni,1981,996.1674373795761
Afghanistan,Khenj (Hes-e- Awal),1981,952.97
Afghanistan,Khenjan,1981,1240.73125
Afghanistan,Pashtun  Zarghun,1981,1237.4791666666667
Afghanistan,Pashtun kot,1981,1649.0239197530864
Afghanistan,Khash Rod,1981,839.1529947916666
Afghanistan,Hirat,1981,1317.9499449944994
Afghanistan,Shakardara,1981,1413.6527777777778
Afghanistan,Arghistan,1981,1004.4668874172186
Afghanistan,Tani,1981,2218.1302083333335
Afghanistan,Qalandar,1981,3028.2083333333335
Afghanistan,Sar Hawzeh(Rawzeh),1981,1294.6296296296296
Afghanistan,Khowgiani,1981,1626.0833333333333
Afghanistan,Khamyab,1981,815.6620370370371
Afghanistan,Waghaz,1981,926.8571428571429
Afghanistan,Zheray,1981,1121.0277777777778
Afghanistan,Panjab,1981,1169.737012987013
Afghanistan,Nerkh,1981,1013.1811594202899
Afghanistan,Daulat Shah,1981,1412.8541666666667
Afghanistan,Chahar Burjak,1981,752.5416666666666
