diseasename,country,district,year,total cases,total deaths,Avg. NVDI Val
Crimean-Congo Hemorrhagic Fever,Pakistan,Hazara,2016,1.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,2014,13.0,11.0,3681.063818565401
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,2015,16.0,10.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,2016,0.0,3.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,2018,1.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,2019,2.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Multan,2016,72.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Multan,2015,0.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Multan,2017,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Multan,2018,1.0,3.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Mirpur Khas,2015,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Mirpur Khas,2016,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Mirpur Khas,2019,0.0,5.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2002,0.0,1.0,2704.626474056604
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2003,0.0,2.0,3261.480935534591
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2004,1.0,1.0,3061.6801297169814
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2016,1.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2014,50.0,0.0,3365.5431407232704
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2015,3.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2017,2.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2018,17.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,2019,0.0,1.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Malakand,2015,25.0,11.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Malakand,2018,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Bahawalpur,2016,0.0,2.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Bannu,2017,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Mardan,2017,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,F.A.T.A.,2018,0.0,2.0,
Crimean-Congo Hemorrhagic Fever,Pakistan,Zhob,2014,77.0,4.0,1330.1263378089122
Crimean-Congo Hemorrhagic Fever,Afghanistan,Gulran,2000,25.0,15.0,
Crimean-Congo Hemorrhagic Fever,Afghanistan,Azra,2015,1.0,0.0,
Crimean-Congo Hemorrhagic Fever,Afghanistan,Herat,2017,0.0,13.0,
Crimean-Congo Hemorrhagic Fever,Afghanistan,Herat,2018,41.0,4.0,
Crimean-Congo Hemorrhagic Fever,Afghanistan,Chora,2018,0.0,34.0,
