country,district,year,temperature in (K)
Serbia,Srednjebanatski okrug,1988,284.7930628458659
Serbia,Borski okrug,1988,282.74510447184247
Serbia,Grad Beograd,1988,284.79199473063153
Serbia,Pomoravski okrug,1988,283.6868667602539
Serbia,Severnobanatski okrug,1988,284.6084238688151
Serbia,Kosovskomitrovicki okrug,1988,281.61266326904297
Serbia,Macvanski okrug,1988,284.78954823811847
Serbia,Pirotski okrug,1988,281.7074966430664
Serbia,Kolubarski okrug,1988,285.4155731201172
Serbia,Branicevski okrug,1988,283.67700958251953
Serbia,Sumadijski okrug,1988,284.283940633138
Serbia,Juznobanatski okrug,1988,284.77672576904297
Serbia,Juznobacki okrug,1988,284.95607884724933
Serbia,Severnobacki okrug,1988,284.5626220703125
Serbia,Pcinjski okrug,1988,281.8047955830892
Serbia,Zlatiborski okrug,1988,282.2369740804036
Serbia,Kosovski okrug,1988,283.3183873494466
Serbia,Toplicki okrug,1988,282.7429733276367
Serbia,Rasinski okrug,1988,283.5215530395508
Serbia,Prizrenski okrug,1988,282.7715759277344
Serbia,Zajecarski,1988,283.3098602294922
Serbia,Sremski,1989,285.2848777770996
Serbia,Moravicki okrug,1989,281.23340606689453
Serbia,Nisavski okrug,1989,283.6403299967448
Serbia,Jablanicki okrug,1989,283.7907307942708
Serbia,Raski okrug,1989,282.05812581380206
Serbia,Srednjebanatski okrug,1989,285.23695882161456
Serbia,Borski okrug,1989,282.99415334065753
Serbia,Grad Beograd,1989,284.8949152628581
Serbia,Pomoravski okrug,1989,283.76453653971356
Serbia,Severnobanatski okrug,1989,285.10757700602215
Serbia,Kosovskomitrovicki okrug,1989,281.5312271118164
Serbia,Macvanski okrug,1989,284.8016128540039
Serbia,Pirotski okrug,1989,281.8147964477539
Serbia,Kolubarski okrug,1989,285.40826416015625
Serbia,Branicevski okrug,1989,283.8960901896159
Serbia,Sumadijski okrug,1989,284.29325103759766
Serbia,Juznobanatski okrug,1989,285.1081034342448
Serbia,Juznobacki okrug,1989,285.3552474975586
Serbia,Severnobacki okrug,1989,285.06678009033203
Serbia,Pcinjski okrug,1989,281.6800944010417
Serbia,Zlatiborski okrug,1989,282.1567497253418
Serbia,Kosovski okrug,1989,283.08850860595703
Serbia,Toplicki okrug,1989,282.65621693929035
Serbia,Rasinski okrug,1989,283.5363057454427
Serbia,Prizrenski okrug,1989,282.5938148498535
Serbia,Zajecarski,1989,283.57617950439453
Serbia,Sremski,1990,285.7786013285319
Serbia,Moravicki okrug,1990,282.1995366414388
Serbia,Nisavski okrug,1990,284.3429209391276
