country,district,year,PRECTOTLAND kg m-2 s-1
Serbia,Jablanicki okrug,1990,1.105934668801625e-05
Serbia,Rasinski okrug,1990,1.2822138306963401e-05
Serbia,Zajecarski,1990,1.2616191335092077e-05
Serbia,Kolubarski okrug,1990,1.6200353505357867e-05
Serbia,Srednjebanatski okrug,1990,1.2677220759569093e-05
Serbia,Sumadijski okrug,1990,1.4283668090679194e-05
Serbia,Severnobanatski okrug,1990,1.3296840424380383e-05
Serbia,Sremski,1990,1.5537412077234098e-05
Serbia,Prizrenski okrug,1990,1.5800148457935216e-05
Serbia,Branicevski okrug,1990,1.40058697276007e-05
Serbia,Toplicki okrug,1991,1.7954791293246013e-05
Serbia,Kosovski okrug,1991,1.676185751817469e-05
Serbia,Severnobacki okrug,1991,2.150552248478574e-05
Serbia,Pcinjski okrug,1991,1.5994631346790317e-05
Serbia,Moravicki okrug,1991,2.5059162611442945e-05
Serbia,Grad Beograd,1991,2.1702292139577947e-05
Serbia,Zlatiborski okrug,1991,2.5140781171847e-05
Serbia,Juznobanatski okrug,1991,2.057778681457339e-05
Serbia,Raski okrug,1991,2.1411309891700763e-05
Serbia,Pirotski okrug,1991,1.6281883491823617e-05
Serbia,Pomoravski okrug,1991,1.9135929362966584e-05
Serbia,Borski okrug,1991,1.7725508159532273e-05
Serbia,Kosovskomitrovicki okrug,1991,2.162068538701255e-05
Serbia,Nisavski okrug,1991,1.7097119387601526e-05
Serbia,Macvanski okrug,1991,2.5795661481235282e-05
Serbia,Juznobacki okrug,1991,2.2631585912375523e-05
Serbia,Jablanicki okrug,1991,1.5923831981407626e-05
Serbia,Rasinski okrug,1991,1.895954223564268e-05
Serbia,Zajecarski,1991,1.651770459333414e-05
Serbia,Kolubarski okrug,1991,2.535430432330325e-05
Serbia,Srednjebanatski okrug,1991,2.061352192840439e-05
Serbia,Sumadijski okrug,1991,2.034336578581196e-05
Serbia,Severnobanatski okrug,1991,2.1246433095238142e-05
Serbia,Sremski,1991,2.3806386858282735e-05
Serbia,Prizrenski okrug,1991,2.05433970560757e-05
Serbia,Branicevski okrug,1991,1.894244576449032e-05
Serbia,Toplicki okrug,1992,1.7715493128806106e-05
Serbia,Kosovski okrug,1992,1.593416901987413e-05
Serbia,Severnobacki okrug,1992,1.3279471737886848e-05
Serbia,Pcinjski okrug,1992,1.4859058932951175e-05
Serbia,Moravicki okrug,1992,2.1073159013286784e-05
Serbia,Grad Beograd,1992,1.7345796357508817e-05
Serbia,Zlatiborski okrug,1992,2.0158258823739295e-05
Serbia,Juznobanatski okrug,1992,1.3794216332606343e-05
Serbia,Raski okrug,1992,2.0495273014677366e-05
Serbia,Pirotski okrug,1992,1.4267303329066037e-05
Serbia,Pomoravski okrug,1992,1.8190201982742398e-05
Serbia,Borski okrug,1992,1.5716586462004173e-05
Serbia,Kosovskomitrovicki okrug,1992,1.998460364822046e-05
Serbia,Nisavski okrug,1992,1.6124956451249368e-05
Serbia,Macvanski okrug,1992,1.902246647317139e-05
Serbia,Juznobacki okrug,1992,1.3757537297793562e-05
Serbia,Jablanicki okrug,1992,1.5198706484529906e-05
Serbia,Rasinski okrug,1992,1.881273782584692e-05
Serbia,Zajecarski,1992,1.4138506463906406e-05
Serbia,Kolubarski okrug,1992,1.929300728198413e-05
Serbia,Srednjebanatski okrug,1992,1.1853562965819805e-05
Serbia,Sumadijski okrug,1992,1.887092814973295e-05
Serbia,Severnobanatski okrug,1992,1.2014689949198369e-05
Serbia,Sremski,1992,1.6084861022023425e-05
Serbia,Prizrenski okrug,1992,1.7718488785619623e-05
Serbia,Branicevski okrug,1992,1.670884349611803e-05
Serbia,Toplicki okrug,1993,1.4875798641098311e-05
Serbia,Kosovski okrug,1993,1.4914023788590055e-05
Serbia,Severnobacki okrug,1993,1.6428106651034113e-05
Serbia,Pcinjski okrug,1993,1.1577710897560224e-05
Serbia,Moravicki okrug,1993,1.8345318467696517e-05
Serbia,Grad Beograd,1993,1.684655862711616e-05
Serbia,Zlatiborski okrug,1993,1.851416964824024e-05
Serbia,Juznobanatski okrug,1993,1.5064473500340606e-05
Serbia,Raski okrug,1993,1.6135026833236703e-05
Serbia,Pirotski okrug,1993,1.1553174012628946e-05
Serbia,Pomoravski okrug,1993,1.5067342277951133e-05
Serbia,Borski okrug,1993,1.4356861964554608e-05
Serbia,Kosovskomitrovicki okrug,1993,1.7816155861420196e-05
Serbia,Nisavski okrug,1993,1.3445507338024262e-05
Serbia,Macvanski okrug,1993,2.0770721908844633e-05
Serbia,Juznobacki okrug,1993,1.666357245887361e-05
Serbia,Jablanicki okrug,1993,1.2792899041534787e-05
Serbia,Rasinski okrug,1993,1.4786825224019947e-05
Serbia,Zajecarski,1993,1.2441439013244349e-05
Serbia,Kolubarski okrug,1993,2.06428648864924e-05
Serbia,Srednjebanatski okrug,1993,1.4631789491027626e-05
Serbia,Sumadijski okrug,1993,1.5665245975071684e-05
Serbia,Severnobanatski okrug,1993,1.5097641257474e-05
Serbia,Sremski,1993,1.8975635891433422e-05
Serbia,Prizrenski okrug,1993,1.8888803639230093e-05
Serbia,Branicevski okrug,1993,1.553148455130721e-05
Serbia,Toplicki okrug,1994,1.6764995441083858e-05
Serbia,Kosovski okrug,1994,1.6026245013733842e-05
Serbia,Severnobacki okrug,1994,1.600220265787458e-05
Serbia,Pcinjski okrug,1994,1.3977525839968684e-05
Serbia,Moravicki okrug,1994,2.3032352168112562e-05
Serbia,Grad Beograd,1994,1.9365553752000626e-05
Serbia,Zlatiborski okrug,1994,2.236244750195324e-05
Serbia,Juznobanatski okrug,1994,1.7519563715219357e-05
Serbia,Raski okrug,1994,1.921279558479859e-05
Serbia,Pirotski okrug,1994,1.40362093943796e-05
Serbia,Pomoravski okrug,1994,1.6481615655471336e-05
Serbia,Borski okrug,1994,1.5075993334710978e-05
Serbia,Kosovskomitrovicki okrug,1994,2.0966643704569935e-05
Serbia,Nisavski okrug,1994,1.4555194636124548e-05
Serbia,Macvanski okrug,1994,2.259473299422628e-05
Serbia,Juznobacki okrug,1994,1.770846150902135e-05
Serbia,Jablanicki okrug,1994,1.4238987597892105e-05
Serbia,Rasinski okrug,1994,1.6777090172818514e-05
Serbia,Zajecarski,1994,1.4165670386429636e-05
Serbia,Kolubarski okrug,1994,2.2801957621511172e-05
Serbia,Srednjebanatski okrug,1994,1.6307153005120274e-05
Serbia,Sumadijski okrug,1994,1.7952863181452334e-05
Serbia,Severnobanatski okrug,1994,1.561425825692532e-05
Serbia,Sremski,1994,2.066706577657445e-05
Serbia,Prizrenski okrug,1994,2.0143222143905366e-05
Serbia,Branicevski okrug,1994,1.6450401528484486e-05
Serbia,Toplicki okrug,1995,2.473187030748607e-05
Serbia,Kosovski okrug,1995,2.5229964406233673e-05
Serbia,Severnobacki okrug,1995,2.10504193439608e-05
Serbia,Pcinjski okrug,1995,2.2045819878961858e-05
Serbia,Moravicki okrug,1995,2.911265245653778e-05
Serbia,Grad Beograd,1995,2.4774493967333502e-05
Serbia,Zlatiborski okrug,1995,2.8365882970504686e-05
Serbia,Juznobanatski okrug,1995,2.2932859291618417e-05
Serbia,Raski okrug,1995,2.6211190766020714e-05
Serbia,Pirotski okrug,1995,2.153793627669667e-05
Serbia,Pomoravski okrug,1995,2.2817819665974717e-05
Serbia,Borski okrug,1995,2.112598755751955e-05
Serbia,Kosovskomitrovicki okrug,1995,2.812635234408694e-05
Serbia,Nisavski okrug,1995,2.1723044427349432e-05
Serbia,Macvanski okrug,1995,2.657160560804568e-05
Serbia,Juznobacki okrug,1995,2.1949112848786776e-05
Serbia,Jablanicki okrug,1995,2.195649178509051e-05
Serbia,Rasinski okrug,1995,2.394531714734707e-05
Serbia,Zajecarski,1995,2.1155325463630767e-05
Serbia,Kolubarski okrug,1995,2.657561893122788e-05
Serbia,Srednjebanatski okrug,1995,2.1558275944263034e-05
Serbia,Sumadijski okrug,1995,2.417292252088199e-05
Serbia,Severnobanatski okrug,1995,2.0359824797186874e-05
Serbia,Sremski,1995,2.397582663475491e-05
Serbia,Prizrenski okrug,1995,2.987902926971661e-05
Serbia,Branicevski okrug,1995,2.1601146655143296e-05
Serbia,Toplicki okrug,1996,1.7902506133430396e-05
Serbia,Kosovski okrug,1996,1.678464919849327e-05
Serbia,Severnobacki okrug,1996,1.866580987725132e-05
Serbia,Pcinjski okrug,1996,1.383709971072087e-05
Serbia,Moravicki okrug,1996,2.5469626355819248e-05
Serbia,Grad Beograd,1996,2.17839997551919e-05
Serbia,Zlatiborski okrug,1996,2.557336760155453e-05
Serbia,Juznobanatski okrug,1996,2.0223927074643672e-05
Serbia,Raski okrug,1996,2.1297254002747373e-05
Serbia,Pirotski okrug,1996,1.3852336041490313e-05
Serbia,Pomoravski okrug,1996,1.934933372379791e-05
Serbia,Borski okrug,1996,1.7514848314211424e-05
Serbia,Kosovskomitrovicki okrug,1996,2.1824215616217053e-05
Serbia,Nisavski okrug,1996,1.6172183589274578e-05
Serbia,Macvanski okrug,1996,2.5126456071602938e-05
Serbia,Juznobacki okrug,1996,2.060137640483211e-05
Serbia,Jablanicki okrug,1996,1.4870250081578503e-05
Serbia,Rasinski okrug,1996,1.8752537643983874e-05
Serbia,Zajecarski,1996,1.4853088458291054e-05
Serbia,Kolubarski okrug,1996,2.521455829799269e-05
Serbia,Srednjebanatski okrug,1996,1.9531203014711345e-05
Serbia,Sumadijski okrug,1996,2.0639705929921327e-05
Serbia,Severnobanatski okrug,1996,1.892181221609407e-05
Serbia,Sremski,1996,2.3112293430324026e-05
Serbia,Prizrenski okrug,1996,2.1553743579072808e-05
Serbia,Branicevski okrug,1996,1.9109399835875166e-05
Serbia,Toplicki okrug,1997,1.940479550953431e-05
Serbia,Kosovski okrug,1997,1.7849432124727333e-05
Serbia,Severnobacki okrug,1997,1.979980356499785e-05
Serbia,Pcinjski okrug,1997,1.6209356057098983e-05
Serbia,Moravicki okrug,1997,2.5059276282490828e-05
Serbia,Grad Beograd,1997,2.5036853327523286e-05
Serbia,Zlatiborski okrug,1997,2.5578076462142178e-05
Serbia,Juznobanatski okrug,1997,2.3506125024246586e-05
Serbia,Raski okrug,1997,2.233792167082742e-05
Serbia,Pirotski okrug,1997,1.6875271748173155e-05
Serbia,Pomoravski okrug,1997,2.1808937121088064e-05
Serbia,Borski okrug,1997,1.9810646482242053e-05
Serbia,Kosovskomitrovicki okrug,1997,2.1588522448661767e-05
Serbia,Nisavski okrug,1997,1.8132550254987027e-05
Serbia,Macvanski okrug,1997,2.6703146695374677e-05
Serbia,Juznobacki okrug,1997,2.2042692832172e-05
Serbia,Jablanicki okrug,1997,1.7485043525163857e-05
Serbia,Rasinski okrug,1997,2.0460669161211214e-05
Serbia,Zajecarski,1997,1.7106279504342968e-05
Serbia,Kolubarski okrug,1997,2.698358998567542e-05
Serbia,Srednjebanatski okrug,1997,2.160994758975738e-05
Serbia,Sumadijski okrug,1997,2.270403596047331e-05
Serbia,Severnobanatski okrug,1997,1.990306247645287e-05
Serbia,Sremski,1997,2.4793143512581675e-05
Serbia,Prizrenski okrug,1997,1.978413300745939e-05
Serbia,Branicevski okrug,1997,2.3172431872267502e-05
Serbia,Toplicki okrug,1998,2.2885544417545823e-05
Serbia,Kosovski okrug,1998,2.3420494950655804e-05
Serbia,Severnobacki okrug,1998,2.186006331878773e-05
Serbia,Pcinjski okrug,1998,2.088447110882078e-05
Serbia,Moravicki okrug,1998,2.747192554131812e-05
Serbia,Grad Beograd,1998,2.303063650737675e-05
Serbia,Zlatiborski okrug,1998,2.6936016985590676e-05
Serbia,Juznobanatski okrug,1998,2.0010545150957643e-05
Serbia,Raski okrug,1998,2.440165908720618e-05
